id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1000000,3,157,2760,233.83,231.83,0,0,149
1000001,100,104,2956,486.03,583.03,0,0,161
1000002,143,75,1971,328.86,327.86,0,0,149
1000003,41,24,2539,145.53,145.53,0,0,540
1000004,45,83,2539,95.06,120.34,0,0,271
1000005,101,65,1754,291.03,290.03,0,0,541
1000006,107,153,2126,533.53,533.53,0,0,53
1000007,11,50,1062,160.11,159.11,0,0,432
1000008,114,57,1962,467.54,639.23,1,1,486
1000009,68,36,1216,406.43,408.43,0,0,28
1000010,10,76,2760,243.53,241.53,0,0,108
1000011,18,104,2867,618.86,619.86,0,0,53
1000012,33,36,2494,256.08,243.5,0,1,94
1000013,140,88,1571,485.03,631.53,0,0,81
1000014,105,81,2139,290.03,290.03,0,0,55
1000015,112,43,2290,286.15,288.15,0,0,1863
1000016,131,77,2290,255.11,257.11,0,0,418
1000017,9,80,2826,298.76,298.76,0,0,771
1000018,101,92,1445,459.78,709.13,0,0,27
1000019,18,52,1311,158.14,158.14,0,0,742
1000020,88,24,2704,243.47,292.03,0,0,473
1000021,111,57,1248,153.26,153.26,0,0,27
1000022,49,89,2760,242.53,242.53,0,0,134
1000023,6,68,1971,290.06,289.06,0,0,230
1000024,30,55,1109,255.14,309.43,0,1,715
1000025,91,14,2640,291.03,291.03,0,0,69
1000026,104,41,1885,152.35,151.35,0,0,175
1000027,140,97,1571,486.03,629.53,0,0,242
1000028,30,94,1207,307.49,308.49,0,0,204
1000029,83,174,1445,669.33,668.33,0,0,108
1000030,95,145,2139,280.33,280.33,0,0,41
1000031,24,14,2539,165.93,153.26,0,1,229
1000032,97,10,1248,155.26,155.26,0,0,231
1000033,25,76,2490,253.2,252.2,0,0,82
1000034,90,186,2581,486.03,641.23,0,0,109
1000036,4,81,1558,611.13,612.13,0,0,136
1000037,109,93,2704,245.47,244.47,0,0,150
1000038,139,58,2490,276.45,278.45,0,0,217
1000039,85,137,1878,195.94,290.03,1,1,836
1000040,141,34,1543,482.09,483.09,0,0,54
1000041,97,101,1311,136.77,208.61,0,0,96
1000042,105,11,1558,678.03,678.03,0,0,81
1000043,40,29,2139,289.06,291.06,0,0,55
1000044,120,124,1558,698.43,699.43,0,0,54
1000045,100,153,2664,299.73,301.73,0,0,445
1000046,86,143,1109,294.88,294.88,0,0,176
1000047,64,129,2631,152.35,152.35,0,0,80
1000048,42,73,2867,629.53,630.53,0,0,27
1000049,31,124,2492,291,387.03,0,1,14
1000051,93,76,1311,160.05,319.13,0,0,135
1000052,86,126,1558,498.64,678.03,0,0,216
1000053,64,97,2577,282.33,280.33,0,0,108
1000054,86,92,2826,310.43,309.43,0,0,96
1000055,1,59,2631,252.23,253.23,0,0,40
